"id"	"address"	"region"	"village"	"takeup_survey"	"age"	"male"	"delay"	"intensive"	"info_none"	"intensive.nondelay.peers"	"n.peers"
"1"	"1111385"	"fusheng67"	1	"fusheng"	1	37	1	0	1	1	0	4
"2"	"1111035"	"fusheng21"	1	"fusheng"	1	60	1	0	1	1	0	0
"3"	"1111363"	"fusheng5"	1	"fusheng"	0	56	1	0	0	1	0	3
"4"	"1111042"	"fusheng21"	1	"fusheng"	1	57	1	0	0	1	1	1
"5"	"1111045"	"fusheng21"	1	"fusheng"	1	45	1	1	0	1	2	4
"6"	"1111038"	"fusheng21"	1	"fusheng"	1	61	1	1	1	1	0	4
"7"	"1111034"	"fusheng21"	1	"fusheng"	1	74	1	0	1	1	0	2
"8"	"1111055"	"fusheng21"	1	"fusheng"	1	76	1	1	1	1	2	4
"9"	"1111050"	"fusheng21"	1	"fusheng"	1	41	1	1	1	0	0	5
"10"	"1111031"	"fusheng21"	1	"fusheng"	0	54	1	1	0	1	0	5
"11"	"1111041"	"fusheng21"	1	"fusheng"	0	63	1	1	1	0	0	3
"12"	"1111032"	"fusheng21"	1	"fusheng"	1	67	1	1	1	1	2	5
"13"	"1111053"	"fusheng21"	1	"fusheng"	0	71	1	0	0	1	2	2
"14"	"1111040"	"fusheng21"	1	"fusheng"	1	40	1	1	1	0	0	5
"15"	"1111036"	"fusheng21"	1	"fusheng"	0	56	1	0	0	1	0	1
"16"	"1111037"	""	NA	"fusheng"	NA	NA	NA	0	1	NA	0	0
"17"	"1111265"	"fusheng32"	1	"fusheng"	1	57	1	1	1	0	0	5
"18"	"1113150"	"shigang21"	1	"shigang"	1	44	1	1	0	0	0	5
"19"	"1113093"	"shigang12"	1	"shigang"	1	59	1	1	1	0	0	5
"20"	"1118435"	"huangshan10"	1	"huangshan"	1	46	1	1	1	0	0	5
"21"	"1111418"	"fusheng67"	1	"fusheng"	1	56	1	0	1	1	0	3
"22"	"1114420"	"zhangxi6"	1	"zhangxi"	1	61	1	1	0	0	0	5
"23"	"1116143"	"dukou31"	1	"dukou"	1	45	1	1	1	0	0	5
"24"	"1111128"	"fusheng23"	1	"fusheng"	1	48	1	1	0	1	0	2
"25"	"1114139"	"zhangxi3"	1	"zhangxi"	1	66	1	1	1	0	0	5
"26"	"1111043"	""	NA	"fusheng"	NA	NA	NA	0	1	NA	0	0
"27"	"1111049"	"fusheng21"	1	"fusheng"	1	74	1	0	1	1	0	1
"28"	"1111375"	"fusheng5"	1	"fusheng"	0	37	1	1	1	1	0	2
"29"	"1111047"	""	NA	"fusheng"	NA	NA	NA	0	1	NA	0	0
"30"	"1111394"	"fusheng67"	1	"fusheng"	1	36	0	0	0	1	2	4
