userid age dob_day dob_year dob_month gender tenure friend_count friendships_initiated likes likes_received mobile_likes mobile_likes_received www_likes www_likes_received
2053749 61 24 1952 6 female 136 15 14 10 2 10 1 0 1
1364632 54 11 1959 11 male 1401 19 4 27 9 26 7 1 2
1502809 48 23 1965 3 female 451 2 2 3 0 2 0 1 0
1472263 48 25 1965 5 male 590 73 66 1 1 1 1 0 0
1318029 65 10 1948 12 female 1183 27 14 4 19 4 15 0 4
1629569 18 24 1995 9 male 217 104 34 9 5 9 2 0 3
1368981 61 11 1952 3 male 995 100 91 238 16 4 13 234 3
1013308 22 24 1991 10 male 137 181 169 45 11 45 11 0 0
1223480 19 13 1994 5 female 698 13 11 231 143 228 44 3 99
1536205 14 12 1999 1 male 461 1749 1667 21 13 21 9 0 4
1067769 20 27 1993 12 male 92 3 1 19 26 6 23 13 3
1509823 29 24 1984 6 female 586 75 31 2 28 1 11 1 17
1468963 67 12 1946 7 male 373 330 268 288 95 181 61 107 34
1720363 22 3 1991 10 female 330 278 94 48 57 47 48 1 9
1489258 37 4 1976 1 male 453 17 9 0 0 0 0 0 0
1630893 23 21 1990 10 female 218 149 62 91 38 91 34 0 4
1164486 24 11 1989 4 male 560 129 116 7 2 5 2 2 0
1860305 33 30 1980 12 female 398 241 191 6 9 6 4 0 5
1330593 24 21 1989 1 female 25 285 223 567 755 562 487 5 268
1132906 23 30 1990 11 male 467 78 30 26 0 26 0 0 0
1548673 33 13 1980 12 male 670 30 17 5 0 5 0 0 0
1209437 26 28 1987 9 female 151 61 52 139 19 139 8 0 11
1029666 21 4 1992 1 male 147 36 25 0 0 0 0 0 0
2133841 16 10 1997 11 male 82 48 47 3 1 3 1 0 0
1715935 31 21 1982 5 female 202 81 42 28 25 2 16 26 9
1340651 45 28 1968 7 male 545 41 11 39 47 39 38 0 9
2013783 36 20 1977 12 male 392 39 29 2 0 0 0 2 0
1416740 15 21 1998 4 female 448 653 402 141 295 8 47 133 248
1327814 17 28 1996 8 male 493 780 618 1586 642 1586 431 0 211
1140116 26 5 1987 5 male 855 442 326 453 595 453 449 0 146
1954031 17 10 1996 9 male 22 11 10 0 0 0 0 0 0
2078456 48 1 1965 12 female 531 86 54 2 4 0 1 2 3
1222242 24 15 1989 2 female 303 461 209 392 262 27 86 365 176
1237931 44 19 1969 11 female 193 71 31 27 8 27 4 0 4
1610121 33 21 1980 6 male 546 4 2 1150 31 294 29 856 2
1839915 63 10 1950 1 male 977 658 320 1 7 0 3 1 4
2177941 55 23 1958 1 male 443 61 56 48 46 0 18 48 28
